time_s,state,error,steer,speed
0.021836042404174805,L1,0.0,0.0,5.0
1.172814130783081,L1,9.513568586899433,-7.7124423456418985,1.5294009444611456
1.189997673034668,L1,19.027137173798867,-9.424884691283797,1
1.209130048751831,L1,19.71775590869946,-9.549196063565903,1
1.2303411960601807,L1,21.65933891785199,-9.898681005213358,1
1.2502894401550293,L1,27.986016456118257,-11.136357279378164,1
1.2672977447509766,L1,34.62363597353872,-12.58541076785308,1
1.2845871448516846,L1,37.04269447243672,-13.125344185604852,1
1.3025543689727783,L1,41.292467531208715,-14.089196911908607,1
1.321977138519287,L1,44.54122235917916,-14.83917258946347,1
1.338749885559082,L1,42.67893001752287,-14.4078677646509,1
1.3542101383209229,L1,38.33881605619591,-13.417238563327189,1
1.3705894947052002,L1,32.3063737040991,-12.074124910637094,1
1.3912789821624756,L1,24.61421859158206,-10.43055934648477,1
1.4105498790740967,L1,16.622875477962914,-8.992117586033324,1
1.4265632629394531,L1,11.559376949194482,-8.080687850855007,1.3636904671152466
1.442164421081543,L1,7.003997786456369,-5.916083174282831,2.3377625715727257
1.4595074653625488,L1,1.303387625587617,-1.0185557802215484,4.541649898900303
1.4802606105804443,L1,-5.088429705463416,3.366377755807646,3.485130009886559
1.4995253086090088,L1,-14.472529142540932,8.605055245657368,1.127725139454184
1.5177381038665771,L1,-27.256212492549558,10.979937809372462,1
1.536825180053711,L1,-39.93524700765322,13.779258007835647,1
1.5538678169250488,L1,-47.410132578847254,15.510938623215011,1
1.5696966648101807,L1,-49.37637903903608,15.9764764084857,1
1.5853445529937744,L1,-49.29215244850906,15.956448924973731,1
1.6021039485931396,L1,-49.42063947393834,15.98700377018864,1
1.620187520980835,L1,-49.52183488539074,16.01108108677918,1
1.6373322010040283,L1,-49.34926479900791,15.970028320966366,1
1.6540555953979492,L1,-49.19941039481064,15.934405488768943,1
1.6710457801818848,L1,-48.373998130037535,15.738626250337756,1
1.6857647895812988,L1,-46.91895467624144,15.395296824038592,1
1.7019994258880615,L1,-43.94172685637277,14.699921298925615,1
1.717195987701416,L1,-39.63088361721634,13.710025772968343,1
1.7328863143920898,L1,-35.22745725808019,12.719591686345522,1
1.7481729984283447,L1,-31.264887752057238,11.846218121574879,1
1.7641716003417969,L1,-26.458070574787293,10.809529950260085,1
1.7796928882598877,L1,-20.023627065673153,9.604252871821167,1
1.7969982624053955,L1,-13.78639782908101,8.481551609234582,1.1833017758444377
1.813535451889038,L1,-8.577400974224592,6.778022231165326,1.949889995975603
1.8368823528289795,L1,-4.148233076430961,2.49890095259003,3.8754945713344866
1.8530504703521729,L1,-0.9037161725292451,0.7273884597274309,4.6726751931226564
1.867995023727417,L1,1.946568834207406,-1.6722358688729626,4.247493859007167
1.8839850425720215,L1,6.866909999318446,-5.59292783746022,2.483182473142901
1.8997881412506104,L1,14.262992812423223,-8.56733870623618,1.1446975821937189
1.919424295425415,L1,22.649844245158597,-10.076971964128546,1
1.9359164237976074,L1,31.280603119360425,-11.849648386537908,1
1.9522686004638672,L1,36.06046819850551,-12.905349360639796,1
1.968224287033081,L1,38.05437874298299,-13.353026178498137,1
1.986783504486084,L1,42.25187431882285,-14.309490088887761,1
2.0042591094970703,L1,44.416775076856695,-14.810233952123223,1
2.019873857498169,L1,41.31943399430716,-14.095375209779018,1
2.0357248783111572,L1,36.118824552149164,-12.918390652867146,1
2.0509746074676514,L1,28.328170959117926,-11.209889587697322,1
2.069763422012329,L1,18.55439983510729,-9.339791970319311,1
2.086683750152588,L1,11.550169946263539,-8.079030590327438,1.3644362343526528
2.102497100830078,L1,5.589764293548217,-4.635316126369313,2.914107743133809
2.118820905685425,L1,1.6790530205531355,-1.3655988785349453,4.385480504659275
2.13447904586792,L1,-1.530966265717623,1.2713531960456614,4.4278910617794525
2.149951696395874,L1,-6.75079353841784,5.680664470648207,2.443700988208307
2.1653430461883545,L1,-11.64300815294682,8.095741467530427,1.3569163396113075
2.1813535690307617,L1,-19.113347571888717,9.440402562939969,1
2.1974642276763916,L1,-30.585237822015664,11.698123035381688,1
2.2135701179504395,L1,-41.913433532924785,14.231665878504831,1
2.231642484664917,L1,-48.13460120349998,15.681981431876538,1
2.248455286026001,L1,-49.4118875660647,15.984921957673302,1
2.2657577991485596,L1,-49.54164225738092,16.015795127968268,1
2.281704902648926,L1,-49.43090278839696,15.989445205716253,1
2.3015520572662354,L1,-49.25708196239485,15.948112088724894,1
2.3189597129821777,L1,-48.289298589628885,15.71857802325683,1
2.3354947566986084,L1,-44.747002770449,14.88706090989467,1
2.350332498550415,L1,-39.85406465490368,13.760782022369039,1
2.365302085876465,L1,-35.41362291555098,12.76104075944177,1
2.3828771114349365,L1,-30.805378470196082,11.746036852804867,1
2.39856219291687,L1,-24.29979300777007,10.373962741398612,1
2.413273572921753,L1,-15.359025329845663,8.76462455937222,1.055918948282501
2.4279305934906006,L1,-8.933057064400604,7.607950271592109,1.576422377783551
2.442782402038574,L1,-6.269541682081732,5.453182167880225,2.5460680244538985
2.458282470703125,L1,-3.453481164199297,2.8902565125965927,3.6993845693315333
3.4191455841064453,L1,6.144792736359503,-7.106062692544711,1.8022717883548798
3.4358155727386475,L1,13.958378121888588,-8.512508061939945,1.1693713721270247
3.4500539302825928,L1,13.974802278595892,-8.51546441014726,1.168041015433733
3.4649832248687744,L1,16.640133279659167,-8.99522399033865,1
3.481437921524048,L1,23.319897323615372,-10.197581518250768,1
3.500765562057495,L1,33.27334679179102,-12.286774910717911,1
3.5152852535247803,L1,39.602850430001965,-13.70365421591316,1
3.5301692485809326,L1,42.75404899877698,-14.425192741400858,1
3.5453643798828125,L1,45.01022938895035,-14.948384527070141,1
3.560415744781494,L1,44.67883232569268,-14.871191515403476,1
3.5765435695648193,L1,44.471792744146875,-14.823025550229408,1
3.591907262802124,L1,39.56803770889769,-13.695742945683309,1
3.6064722537994385,L1,26.523235518413045,-10.823417245224418,1
3.6213021278381348,L1,13.869524391716707,-8.496514390509008,1.1765685242709463
3.6376869678497314,L1,6.804415304476694,-5.939344091523442,2.327295158814451
3.6545228958129883,L1,2.1744804439979477,-1.7084363751084202,4.231203631201211
3.6696746349334717,L1,-1.5111216820138558,1.283024987043471,4.422638755830438
3.6847589015960693,L1,-6.8690050339327655,5.878648376900633,2.354608230394715
3.700704336166382,L1,-15.588364103294552,8.80590553859302,1.037342507633141
3.7162563800811768,L1,-24.614101105340588,10.430538198961305,1
3.732003688812256,L1,-37.90002286099838,13.318216553600866,1
3.7467551231384277,L1,-47.996736053150926,15.649388604554495,1
3.761268377304077,L1,-48.397276056113185,15.74413745036476,1
3.7763242721557617,L1,-48.50301935141099,15.769180228885135,1
3.7914578914642334,L1,-48.50930469380343,15.770669142619914,1
3.808845281600952,L1,-48.67994408934199,15.811107641015985,1
3.8255157470703125,L1,-48.93405593257139,15.871385907765914,1
3.8406131267547607,L1,-48.65041794244079,15.804108220006373,1
3.856350898742676,L1,-48.592087602034695,15.790283290438262,1
3.8739469051361084,L1,-48.515401087501715,15.772113337691893,1
3.8894777297973633,L1,-48.339478242407225,15.73045452036814,1
3.904083013534546,L1,-47.88783011387013,15.623656563437077,1
3.9209861755371094,L1,-44.790579725213924,14.897207816647173,1
10.743685245513916,RB_ENTRY,3.7345437527678165,-6.672217875498207,1.9975019560258067
10.761500120162964,RB_ENTRY,49.621175255073695,-16.034727792756257,1
10.776571989059448,RB_ENTRY,49.61002012391674,-16.032071925078167,1
10.791138887405396,RB_ENTRY,49.65319879967836,-16.04235286010246,1
10.80610966682434,RB_ENTRY,47.290934194790275,-15.482850885727437,1
10.820834159851074,RB_ENTRY,45.13045873705656,-14.976419122128204,1
10.83565902709961,RB_ENTRY,46.33787017834682,-15.258824082744262,1
10.850277662277222,RB_ENTRY,41.67955171767203,-14.177957208858983,1
10.865758180618286,RB_ENTRY,34.2633540132896,-12.505536626701534,1
10.880765676498413,RB_ENTRY,26.60466331909642,-10.840776761947424,1
10.895836353302002,RB_ENTRY,4.131681260459802,-3.649716137917687,3.357627737937041
10.910033226013184,RB_ENTRY,-25.412862429654837,10.58741244978034,1
10.924700260162354,RB_ENTRY,-38.363129886938864,13.422731520890178,1
10.939342498779297,RB_ENTRY,-43.987515838771486,14.710543509073073,1
10.955722570419312,RB_ENTRY,-49.68408819496307,16.049708926643714,1
10.969972372055054,RB_ENTRY,-50.088827041221144,16.146189510062598,1
10.984545469284058,RB_ENTRY,-50.936303791154145,16.3487818531765,1
10.99886441230774,RB_ENTRY,-52.00139639759278,16.604496058097638,1
11.013419389724731,RB_ENTRY,-73.33571297829188,21.98462751543343,1
11.029396295547485,RB_ENTRY,-96.19654770523346,27.978454304330423,1
11.043987274169922,RB_ENTRY,-98.51406248935271,28.479037497700183,1
11.058165311813354,RB_ENTRY,-99.37962805129968,28.66599965908073,1
11.073187351226807,RB_ENTRY,-100.0,28.799999999999997,1
11.089812278747559,RB_ENTRY,-115.0,30.0,1
11.104091882705688,RB_ENTRY,-130.0,30.0,1
11.118762254714966,RB_ENTRY,-130.0,30.0,1
11.134162664413452,RB_ENTRY,-130.0,30.0,1
11.149721145629883,RB_ENTRY,-130.0,30.0,1
11.164148092269897,RB_ENTRY,-130.0,30.0,1
11.179049730300903,RB_ENTRY,-130.0,30.0,1
11.193355083465576,RB_ENTRY,-130.0,30.0,1
11.209298849105835,RB_ENTRY,-130.0,30.0,1
11.224164009094238,RB_ENTRY,-130.0,30.0,1
11.239269256591797,RB_ENTRY,-130.0,30.0,1
11.25401520729065,RB_ENTRY,-130.0,30.0,1
11.269201278686523,RB_ENTRY,-130.0,30.0,1
11.288284301757812,RB_ENTRY,-130.0,30.0,1
11.303823709487915,RB_ENTRY,-130.0,30.0,1
11.319348096847534,RB_ENTRY,-130.0,30.0,1
11.336101293563843,RB_ENTRY,-130.0,30.0,1
11.355358362197876,RB_ENTRY,-130.0,30.0,1
11.372003078460693,RB_ENTRY,-130.0,30.0,1
11.38747525215149,RB_ENTRY,-130.0,30.0,1
11.403568029403687,RB_ENTRY,-130.0,30.0,1
11.41854214668274,RB_ENTRY,-130.0,30.0,1
11.43383502960205,RB_ENTRY,-130.0,30.0,1
11.448918581008911,RB_ENTRY,-130.0,30.0,1
11.464300870895386,RB_ENTRY,-130.0,30.0,1
11.480556011199951,RB_ENTRY,-130.0,30.0,1
11.49640440940857,RB_ENTRY,-130.0,30.0,1
11.51178789138794,RB_ENTRY,-130.0,30.0,1
11.52906608581543,RB_ENTRY,-130.0,30.0,1
11.545206546783447,RB_ENTRY,-130.0,30.0,1
11.560349464416504,RB_ENTRY,-130.0,30.0,1
11.575828075408936,RB_ENTRY,-130.0,30.0,1
11.591900110244751,RB_ENTRY,-130.0,30.0,1
11.608099460601807,RB_ENTRY,-130.0,30.0,1
11.622960329055786,RB_ENTRY,-130.0,30.0,1
11.638585090637207,RB_ENTRY,-130.0,30.0,1
11.660253047943115,RB_ENTRY,-130.0,30.0,1
11.681775569915771,RB_ENTRY,-130.0,30.0,1
11.698661088943481,RB_ENTRY,-130.0,30.0,1
11.73758316040039,RB_ENTRY,-130.0,30.0,1
11.75943636894226,RB_ENTRY,-130.0,30.0,1
11.826366901397705,RB_ENTRY,-130.0,30.0,1
12.601473569869995,RB_ENTRY,-130.0,30.0,1
12.617769002914429,RB_ENTRY,-130.0,30.0,1
12.633236169815063,RB_ENTRY,-130.0,30.0,1
12.64790391921997,RB_ENTRY,-130.0,30.0,1
12.663716316223145,RB_ENTRY,-130.0,30.0,1
12.679693698883057,RB_ENTRY,-130.0,30.0,1
12.695747375488281,RB_ENTRY,-130.0,30.0,1
12.71027398109436,RB_ENTRY,-130.0,30.0,1
12.726797103881836,RB_ENTRY,-130.0,30.0,1
12.744834899902344,RB_ENTRY,-130.0,30.0,1
12.76085901260376,RB_ENTRY,-130.0,30.0,1
12.775397300720215,RB_ENTRY,-130.0,30.0,1
12.791566371917725,RB_ENTRY,-130.0,30.0,1
12.811469316482544,RB_ENTRY,-130.0,30.0,1
12.826789855957031,RB_ENTRY,-130.0,30.0,1
12.841329336166382,RB_ENTRY,-130.0,30.0,1
12.856521606445312,RB_ENTRY,-130.0,30.0,1
12.873250007629395,RB_ENTRY,-130.0,30.0,1
12.89189863204956,RB_ENTRY,-130.0,30.0,1
12.90733790397644,RB_ENTRY,-130.0,30.0,1
12.922340869903564,RB_ENTRY,-130.0,30.0,1
12.938252449035645,RB_ENTRY,-130.0,30.0,1
13.020858526229858,RB_ENTRY,-130.0,30.0,1
13.035426378250122,RB_ENTRY,-130.0,30.0,1
13.050944566726685,RB_ENTRY,-130.0,30.0,1
13.066864967346191,RB_ENTRY,-130.0,30.0,1
13.083813428878784,RB_ENTRY,-130.0,30.0,1
13.099108695983887,RB_ENTRY,-130.0,30.0,1
13.115262508392334,RB_ENTRY,-130.0,30.0,1
13.173390626907349,RB_ENTRY,-130.0,30.0,1
13.188335180282593,RB_ENTRY,-130.0,30.0,1
13.203460216522217,RB_ENTRY,-130.0,30.0,1
13.219081163406372,RB_ENTRY,-130.0,30.0,1
13.234321355819702,RB_ENTRY,-130.0,30.0,1
13.249384880065918,RB_ENTRY,-130.0,30.0,1
13.265530586242676,RB_ENTRY,-130.0,30.0,1
13.280012369155884,RB_ENTRY,-130.0,30.0,1
13.29502248764038,RB_ENTRY,-130.0,30.0,1
13.310669898986816,RB_ENTRY,-130.0,30.0,1
13.327311754226685,RB_ENTRY,-130.0,30.0,1
13.34432315826416,RB_ENTRY,-130.0,30.0,1
13.359732389450073,RB_ENTRY,-130.0,30.0,1
13.374585628509521,RB_ENTRY,-130.0,30.0,1
13.390772819519043,RB_ENTRY,-130.0,30.0,1
13.405513048171997,RB_ENTRY,-130.0,30.0,1
13.420250415802002,RB_ENTRY,-130.0,30.0,1
13.435350894927979,RB_ENTRY,-130.0,30.0,1
13.450581073760986,RB_ENTRY,-130.0,30.0,1
13.46662425994873,RB_ENTRY,-130.0,30.0,1
13.482090950012207,RB_ENTRY,-130.0,30.0,1
13.497471570968628,RB_ENTRY,-130.0,30.0,1
13.51309061050415,RB_ENTRY,-130.0,30.0,1
13.52889609336853,RB_ENTRY,-130.0,30.0,1
13.544111251831055,RB_ENTRY,-130.0,30.0,1
13.5590500831604,RB_ENTRY,-130.0,30.0,1
13.576514482498169,RB_ENTRY,-130.0,30.0,1
13.593190670013428,RB_ENTRY,-130.0,30.0,1
13.608586549758911,RB_ENTRY,-130.0,30.0,1
13.62455129623413,RB_ENTRY,-130.0,30.0,1
13.641192197799683,RB_ENTRY,-130.0,30.0,1
13.657807111740112,RB_ENTRY,-130.0,30.0,1
13.673110723495483,RB_ENTRY,-130.0,30.0,1
13.689031839370728,RB_ENTRY,-130.0,30.0,1
13.705068349838257,RB_ENTRY,-130.0,30.0,1
13.721635341644287,RB_ENTRY,-130.0,30.0,1
13.736204862594604,RB_ENTRY,-130.0,30.0,1
13.752322673797607,RB_ENTRY,-130.0,30.0,1
13.768876075744629,RB_ENTRY,-130.0,30.0,1
13.785216569900513,RB_ENTRY,-130.0,30.0,1
13.801480770111084,RB_ENTRY,-130.0,30.0,1
